ID,IPHONECAKE_LINK,VERSION,TOTAL_DOWNLOAD
1031088757,https://www.iphonecake.com/app_1031088757_.html,1.6,1960
432749907,https://www.iphonecake.com/app_432749907_.html,4.20.1,20322
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
497595276,https://www.iphonecake.com/app_497595276_.html,4.21.2,26663
978866413,https://www.iphonecake.com/app_978866413_.html,1.18.13,6210
850417475,https://www.iphonecake.com/app_850417475_.html,1.69.10,77180
581463445,https://www.iphonecake.com/app_581463445_.html,1.7.6,14390
642097030,https://www.iphonecake.com/app_642097030_.html,3.5.4,5270
284972998,https://www.iphonecake.com/app_284972998_.html,7.1.3,327081
1099703034,https://www.iphonecake.com/app_1099703034_.html,1.4,9880
1006739057,https://www.iphonecake.com/app_1006739057_.html,1.50,420
1078184147,https://www.iphonecake.com/app_1078184147_.html,1.0.2,1720
1086111112,https://www.iphonecake.com/app_1086111112_.html,2.1.2,220
969924164,https://www.iphonecake.com/app_969924164_.html,1.6.0,6190
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
284882215,https://www.iphonecake.com/app_284882215_.html,59.0,579924
454638411,https://www.iphonecake.com/app_454638411_.html,78.0,210649
1005212883,https://www.iphonecake.com/app_1005212883_.html,1.2.5,340
988634008,https://www.iphonecake.com/app_988634008_.html,1.2,1140
1001725199,https://www.iphonecake.com/app_1001725199_.html,1.3.2,6140
1084682224,https://www.iphonecake.com/app_1084682224_.html,1.1,7280
977154428,https://www.iphonecake.com/app_977154428_.html,3.1,460
963578886,https://www.iphonecake.com/app_963578886_.html,2.1.1,3070
1054720394,https://www.iphonecake.com/app_1054720394_.html,1.2.3,940
766858884,https://www.iphonecake.com/app_766858884_.html,1.89.8,24980
338227344,https://www.iphonecake.com/app_338227344_.html,46.1.1,51706
529479190,https://www.iphonecake.com/app_529479190_.html,8.332.16,220950
452204407,https://www.iphonecake.com/app_452204407_.html,9.11.0,10710
512939461,https://www.iphonecake.com/app_512939461_.html,1.58.0,71970
682438211,https://www.iphonecake.com/app_682438211_.html,2.2.3,1030
555936735,https://www.iphonecake.com/app_555936735_.html,2.6.0,7690
891362701,https://www.iphonecake.com/app_891362701_.html,3.4.4,21600
592962356,https://www.iphonecake.com/app_592962356_.html,9.4,46870
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
798569362,https://www.iphonecake.com/app_798569362_.html,2.6,50820
429047995,https://www.iphonecake.com/app_429047995_.html,6.5,7370
415432321,https://www.iphonecake.com/app_415432321_.html,3.0.8,1820
998629863,https://www.iphonecake.com/app_998629863_.html,2.1.0,1540
777313686,https://www.iphonecake.com/app_777313686_.html,2.3,22430
1034658841,https://www.iphonecake.com/app_1034658841_.html,1.371,16460
1046448611,https://www.iphonecake.com/app_1046448611_.html,1.2,2880
372047576,https://www.iphonecake.com/app_372047576_.html,4.3.9,76136
1021094172,https://www.iphonecake.com/app_1021094172_.html,1.1,260
680279083,https://www.iphonecake.com/app_680279083_.html,5.52,14150
911800950,https://www.iphonecake.com/app_911800950_.html,1.8.3,2580
538744637,https://www.iphonecake.com/app_538744637_.html,3.7.2,25350
618909051,https://www.iphonecake.com/app_618909051_.html,3.7.2,7950
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
697922531,https://www.iphonecake.com/app_697922531_.html,1.63.41,97370
1061802598,https://www.iphonecake.com/app_1061802598_.html,1.12,281740
363282253,https://www.iphonecake.com/app_363282253_.html,1.9.12,173752
